MLC,MN,MC,Your computer slows down.,Your screen is inundated with annoying ads.,Your system crashes. ,You notice a mysterious loss of disk space.,There’s a weird increase in your system’s Internet activity.,Your browser settings change.,Your antivirus product stops working,You lose access to your files or your entire computer.,Advertisements appear in places they shouldn’t be.,Your web browser’s homepage has mysteriously changed without your permission.,Web pages that you typically visit are not displaying properly.,Your web browser slows to a crawl.,"New toolbars, extensions, or plugins suddenly populate your browser.",Your Mac starts automatically installing unwanted software applications.,Website links redirect to sites different from what you expected.,Your browser crashes.,Email errático,Clicou no primeiro link de pesquisa e notou algo de estranho depois.,"Notar vários erros de ortografia e gramática, enviado de um site aparentemente confiável.","Você perdeu acesso parcial ao teclado, mouse ou touchpad do seu computador.",Seus arquivos estão criptografados e estão com uma extensão diferente.,"Você recebeu e clicou em um e-mail e após isso, tem uma tela pedindo dinheiro para você."
0,1,Stuxnet,Virus,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,Melissa,Virus,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
2,1,Chernobyl,Virus,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0
3,1, Anna Kournikova ,Virus,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0
4,1, I love you ,Virus,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0
5,1,Flame ,Virus,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1,Morris Worm,Virus,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7,1,Nimda,Virus,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0
8,1,SQL Slammer,Virus,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
9,1,CryptoLocker,Virus,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1
10,1,Conficker,Virus,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0
11,1,Tinba,Virus,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
